Ref,Val,Package,PosX,PosY,Rot,Side
"BOARD_FIDUCIAL","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",9.000000,92.000000,0.000000,top
"BOARD_FIDUCIAL","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",43.000000,4.000000,0.000000,top
"BOARD_FIDUCIAL","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",9.000000,4.000000,0.000000,top
"C1","1u","C_0603_1608Metric",30.725000,3.700000,180.000000,top
"C2","100n","C_0603_1608Metric",33.975000,3.700000,0.000000,top
"C3","1u","C_0603_1608Metric",29.125000,66.314000,180.000000,top
"C4","100n","C_0603_1608Metric",40.952000,76.233000,90.000000,top
"C5","10u","C_0805_2012Metric",9.700000,33.200000,90.000000,top
"C6","10u","C_0805_2012Metric",9.700000,22.200000,90.000000,top
"C7","100n","C_0603_1608Metric",11.600000,33.200000,90.000000,top
"C8","100n","C_0603_1608Metric",11.600000,22.200000,90.000000,top
"C9","3n3","C_0603_1608Metric",10.875000,26.000000,0.000000,top
"C10","3n3","C_0603_1608Metric",10.875000,15.000000,0.000000,top
"C11","22u","C_0805_2012Metric",7.500000,33.200000,90.000000,top
"C12","22u","C_0805_2012Metric",7.500000,22.200000,90.000000,top
"C19","100n","C_0603_1608Metric",26.825000,55.000000,0.000000,top
"C20","1u","C_0603_1608Metric",42.475000,50.100000,0.000000,top
"C21","100n","C_0603_1608Metric",42.475000,51.800000,0.000000,top
"D1","5V6","D_MiniMELF",16.650000,26.700000,0.000000,top
"Q1","AO3400A","SOT-23",2.340000,76.450000,0.000000,top
"Q2","AO3401A","SOT-23",5.928000,76.450000,0.000000,top
"Q3","AO3400A","SOT-23",2.356000,51.650000,0.000000,top
"Q4","AO3401A","SOT-23",5.928000,51.650000,0.000000,top
"Q5","AO3401A","SOT-23",15.900000,23.200000,270.000000,top
"R1","220","R_0603_1608Metric",1.340000,81.847000,270.000000,top
"R2","10k","R_0603_1608Metric",2.165000,79.244000,0.000000,top
"R3","10k","R_0603_1608Metric",6.103000,79.244000,180.000000,top
"R4","220","R_0603_1608Metric",1.356000,57.047000,270.000000,top
"R5","10k","R_0603_1608Metric",2.181000,54.444000,0.000000,top
"R6","10k","R_0603_1608Metric",6.119000,54.444000,180.000000,top
"R7","10k","R_0603_1608Metric",18.900000,23.375000,270.000000,top
"R10","1M17","R_0603_1608Metric",7.725000,26.000000,180.000000,top
"R11","180k","R_0603_1608Metric",4.575000,26.000000,180.000000,top
"R12","562k","R_0603_1608Metric",7.725000,15.000000,180.000000,top
"R13","180k","R_0603_1608Metric",4.575000,15.000000,180.000000,top
"R14","10k","R_0603_1608Metric",23.200000,36.025000,270.000000,top
"R15","10k","R_0603_1608Metric",23.600000,55.000000,0.000000,top
"R16","4k7","R_0603_1608Metric",34.575000,50.100000,0.000000,top
"R17","10k","R_0603_1608Metric",39.025000,28.400000,0.000000,top
"R18","4k7","R_0603_1608Metric",37.825000,50.100000,180.000000,top
"R19","10k","R_0603_1608Metric",28.700000,26.800000,0.000000,top
"U1","RFM95W-868S2","HOPERF_RFM9XW_SMD",30.500000,15.200000,270.000000,top
"U2","ublox_SAM-M8Q","ublox_SAM-M8Q",31.844000,75.402000,180.000000,top
"U3","TPS62130","VQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm_ThermalVias",8.580000,29.100000,0.000000,top
"U4","TPS62130","VQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm_ThermalVias",8.620000,18.120000,0.000000,top
"U5","ESP32-WROOM-32D","ESP32-WROOM-32",35.000000,39.248000,270.000000,top
